Id,ItemNumber,ItemTitle,Description,SalesChannelId,Active,CrossPostId,DateListed,DateEnded,DateSold,LastUpdated,Price
0006850a-09ca-497b-b24f-d902892d1d75,1742241841,"Antique Vaseline Uranium Green Iridescent Stretch Glass Console Bowl 8""","Antique Vaseline Uranium Green Iridescent Stretch Glass Console Bowl 8""",d59f7ad3-1b2e-4347-bb4c-807d673d3536,0,NULL,NULL,2001-06-04 04:00:00,NULL,2024-08-08 22:42:46,0.00
0006f0c3-26b9-45aa-a4c7-9a35034556b8,m89566562514,Fused Dichroic Art Glass Diamond Shaped Pendant 2 inches Blue & Gray Swirl GIFT,Fused Dichroic Art Glass Diamond Shaped Pendant 2 inches Blue &amp; Gray Swirl GIFT,1411f7bd-3872-4543-812c-f1b81569be89,0,12761d2b-0439-4c55-8ea2-e4171fa463d7,2023-11-19 22:27:32,NULL,2023-12-02 05:00:00,2024-08-14 22:16:55,5.63
00072dd8-f90e-47c0-bfcd-53c61b6fcd18,m68356972637,Elephant Trunk Up Teapot Creamer Vase Vtg Miniature Ceramic China no lid gift,Elephant Trunk Up Teapot Creamer Vase Vtg  Miniature Ceramic China no lid gift,1411f7bd-3872-4543-812c-f1b81569be89,1,1987bd67-cdd4-4059-9f21-afbbfea4a632,2024-06-09 04:00:00,NULL,2024-06-09 04:00:00,2024-08-14 22:20:02,8.85
001b6469-a471-4945-b749-2fc90b3e9658,176014496295,"Vintage China Garden PRESTIGE 7"" Dessert Salad Plates Set of 4 Floral Blue Pink","Vintage China Garden PRESTIGE 7"" Dessert Salad Plates Set of 4 Floral Blue Pink",28e91dfe-9a9d-482d-4aed-08db50d0bd42,0,001b6469-a471-4945-b749-2fc90b3e9658,2023-11-06 13:24:00,2023-12-05 14:01:00,NULL,2024-01-25 22:16:11,9.11
